MonthNumeric,MonthFactor,Year,CamrySales,Unemployment,CamryQueries,CPIAll,CPIEnergy,MilesTraveled
12,Decemeber,2015,37299,5,56,237.761,190.143,261788
1,January,2016,26848,4.8,62,237.652,185.235,262611
2,February,2016,32405,4.9,64,237.336,176.401,261752
3,March,2016,36991,5,68,238.08,182.234,262392
4,April,2016,34039,5.1,61,238.992,186.713,264735
5,May,2016,36916,4.8,66,239.557,188.596,264565
6,June,2016,32561,4.9,69,240.222,192.899,264364
7,July,2016,34122,4.8,71,240.101,189.046,265645
8,August,2016,32864,4.9,71,240.545,188.772,264145
9,Septeber,2016,30707,5,71,241.176,192.243,263573
10,October,2016,29562,4.9,63,241.741,195.979,266664
11,November,2016,28189,4.7,61,242.026,196.372,265314
12,Decemeber,2016,33412,4.7,61,242.637,199.513,267135
1,January,2017,20313,4.7,74,243.618,205.369,266509
2,February,2017,27498,4.6,69,244.006,204.133,265234
3,March,2017,35648,4.4,72,243.892,202.528,265123
4,April,2017,31428,4.5,69,244.193,202.954,270670
5,May,2017,32547,4.4,73,244.004,198.449,266153
6,June,2017,29463,4.3,80,244.163,197.808,266376
7,July,2017,33827,4.3,88,244.243,195.994,269548
8,August,2017,37051,4.4,82,245.183,201.45,267211
9,Septeber,2017,34732,4.2,94,246.435,212.723,266506
10,October,2017,26252,4.1,82,246.626,208.328,268718
11,November,2017,34991,4.2,78,247.284,213.047,268212
12,Decemeber,2017,43331,4.1,79,247.805,213.574,272319
1,January,2018,24638,4,81,248.743,216.872,268361
2,February,2018,30865,4.1,83,249.439,220.381,267857
3,March,2018,35264,4,84,249.581,216.925,268556
4,April,2018,29848,4,82,250.146,218.268,273320
5,May,2018,29965,3.8,87,250.779,220.632,267556
6,June,2018,28215,4,90,251.118,221.473,269325
7,July,2018,26311,3.8,91,251.323,219.758,270452
8,August,2018,30141,3.8,92,251.749,222.435,267900
9,Septeber,2018,27640,3.7,84,252.239,223.444,269877
10,October,2018,26914,3.8,80,252.862,226.462,270155
11,November,2018,24545,3.8,76,252.657,219.267,269052
12,Decemeber,2018,29093,3.9,78,252.551,212.633,277525
1,January,2019,23802,4,81,252.47,205.54,273421
2,February,2019,24267,3.8,82,253.135,208.699,272141
3,March,2019,33615,3.8,86,254.273,216.376,270920
4,April,2019,29227,3.7,80,255.163,221.758,271928
5,May,2019,36208,3.7,84,255.325,219.68,271676
6,June,2019,28889,3.6,83,255.361,214.666,269353
7,July,2019,27134,3.6,87,255.9,215.85,269606
8,August,2019,31986,3.7,87,256.179,213.169,276508
9,Septeber,2019,23328,3.5,81,256.596,213.122,274195
10,October,2019,26602,3.6,83,257.305,216.62,272669
11,November,2019,25611,3.6,78,257.788,217.435,269800
12,Decemeber,2019,26309,3.6,76,258.263,219.786,269023
1,January,2020,24824,3.5,79,258.682,217.803,285452
2,February,2020,29245,3.5,81,259.007,214.119,284040
3,March,2020,23119,4.4,60,258.165,203.912,224870
4,April,2020,8768,14.8,53,256.094,182.889,167174
5,May,2020,19484,13.3,72,255.944,179.542,204304
6,June,2020,20459,11.1,82,257.217,188.437,235771
7,July,2020,22792,10.2,89,258.543,192.556,242159
8,August,2020,27892,8.4,82,259.58,194.285,251358
9,Septeber,2020,28362,7.8,74,260.19,196.875,254995
10,October,2020,29666,6.9,81,260.352,196.435,255505
11,November,2020,29373,6.7,72,260.721,196.359,248198
12,Decemeber,2020,30364,6.7,70,261.564,203.649,249061
1,January,2021,21771,6.3,76,262.2,209.328,258907
2,February,2021,23839,6.2,78,263.346,218.944,253624
3,March,2021,32541,6,92,265.028,231.127,267337
4,April,2021,29939,6.1,91,266.727,228.374,264108
5,May,2021,37676,5.8,91,268.599,229.874,268886
6,June,2021,31905,5.9,89,270.955,234.625,272791
7,July,2021,32959,5.4,87,272.184,238.447,274184
8,August,2021,27033,5.2,90,273.092,242.958,272447
9,Septeber,2021,19106,4.7,85,274.214,245.847,274621
10,October,2021,17691,4.6,85,276.59,255.01,275442
11,November,2021,19261,4.2,80,278.524,261.257,275411
12,Decemeber,2021,20074,3.9,76,280.126,263.553,274615
1,January,2022,19665,4,83,281.933,265.929,268800
2,February,2022,15612,3.8,92,284.182,275.17,274645
3,March,2022,26228,3.6,100,287.708,305.469,272387
4,April,2022,26323,3.6,93,288.663,297.233,269795
5,May,2022,24905,3.6,91,291.474,308.839,270700
6,June,2022,23192,3.6,100,295.328,332.087,267971
